(-0.003126, -0.009028, 0.499110)
(-0.003126, -0.009028, 0.499110)
(-0.003126, -0.009028, 0.499110)
(-0.003126, -0.009028, 0.499110)
(-0.003126, -0.009028, 0.499110)
(-0.003126, -0.009028, 0.499110)
(-0.003126, -0.009028, 0.499110)
(-0.003150, -0.009157, 0.505089)
(-0.002349, -0.009253, 0.509549)
(-0.002362, -0.008534, 0.514518)
(-0.001540, -0.007822, 0.520725)
(-0.001545, -0.007915, 0.525813)
(-0.001546, -0.007949, 0.527676)
(-0.001547, -0.007976, 0.529110)
(-0.001549, -0.008016, 0.531340)
(-0.001550, -0.008039, 0.532597)
(-0.001552, -0.008067, 0.534111)
(-0.001553, -0.008094, 0.535551)
(-0.001554, -0.008126, 0.537329)
(-0.001555, -0.008148, 0.538526)
(-0.001556, -0.008171, 0.539801)
(-0.001558, -0.008199, 0.541316)
(-0.001559, -0.008236, 0.543322)
(-0.001561, -0.008273, 0.545329)
(-0.001562, -0.008303, 0.546978)
(-0.001563, -0.008317, 0.547753)
(-0.001564, -0.008331, 0.548529)
(-0.001564, -0.008344, 0.549233)
(-0.001565, -0.008363, 0.550262)
(-0.001566, -0.008376, 0.551001)
(-0.001566, -0.008394, 0.551959)
(-0.001567, -0.008411, 0.552888)
(-0.001568, -0.008422, 0.553472)
(-0.001568, -0.008433, 0.554094)
(-0.001569, -0.008441, 0.554541)
(-0.001569, -0.008457, 0.555378)
(-0.001570, -0.008465, 0.555862)
(-0.001570, -0.008479, 0.556616)
(-0.001571, -0.008490, 0.557182)
(-0.001571, -0.008504, 0.557971)
(-0.006951, -0.004928, 0.558332)
(-0.009646, -0.003140, 0.558719)
(-0.015039, 0.001342, 0.559118)
(-0.018641, 0.004034, 0.559471)
(-0.024942, 0.009424, 0.559766)
(-0.030360, 0.014823, 0.560245)
(-0.033071, 0.017525, 0.560459)
(-0.033990, 0.019334, 0.560777)
(-0.034001, 0.019339, 0.560966)
(-0.034922, 0.020251, 0.561315)
(-0.036738, 0.021158, 0.561512)
(-0.039464, 0.024775, 0.561836)
(-0.042184, 0.026585, 0.562015)
(-0.044913, 0.028402, 0.562295)
(-0.046729, 0.031115, 0.562426)
(-0.048551, 0.033832, 0.562605)
(-0.049465, 0.033839, 0.562730)
(-0.050375, 0.035650, 0.562812)
(-0.053099, 0.037464, 0.562946)
(-0.054918, 0.039278, 0.563065)
(-0.056736, 0.039285, 0.563163)
(-0.062175, 0.042908, 0.563292)
(-0.065803, 0.043818, 0.563376)
(-0.070337, 0.046536, 0.563463)
(-0.075779, 0.048352, 0.563566)
(-0.083036, 0.051075, 0.563688)
(-0.086667, 0.052891, 0.563759)
(-0.093926, 0.055614, 0.563866)
(-0.096649, 0.057427, 0.563906)
(-0.103908, 0.061054, 0.563988)
(-0.106633, 0.062869, 0.564035)
(-0.109362, 0.064686, 0.564098)
(-0.112088, 0.067406, 0.564140)
(-0.114811, 0.071029, 0.564170)
(-0.119351, 0.071940, 0.564218)
(-0.122075, 0.073754, 0.564246)
(-0.123891, 0.075567, 0.564266)
(-0.125710, 0.076477, 0.564299)
(-0.128436, 0.078292, 0.564330)
(-0.132975, 0.080108, 0.564369)
(-0.134792, 0.081015, 0.564385)
(-0.140234, 0.082829, 0.564406)
(-0.143863, 0.083737, 0.564423)
(-0.146587, 0.085551, 0.564443)
(-0.148404, 0.085554, 0.564459)
(-0.149315, 0.086461, 0.564475)
(-0.150224, 0.086463, 0.564487)
(-0.152041, 0.087371, 0.564503)
(-0.154763, 0.087373, 0.564513)
(-0.158394, 0.089187, 0.564531)
(-0.160209, 0.089188, 0.564540)
(-0.162932, 0.089190, 0.564551)
(-0.163840, 0.089191, 0.564557)
(-0.166562, 0.089192, 0.564565)
(-0.170189, 0.090099, 0.564570)
(-0.173818, 0.090100, 0.564579)
(-0.175633, 0.091007, 0.564585)
(-0.178354, 0.091007, 0.564589)
(-0.181075, 0.091914, 0.564594)
(-0.182889, 0.092820, 0.564597)
(-0.184704, 0.092821, 0.564601)
(-0.185612, 0.092821, 0.564605)
(-0.187426, 0.092822, 0.564608)
(-0.188334, 0.093728, 0.564612)
(-0.189242, 0.093729, 0.564616)
(-0.191962, 0.094635, 0.564618)
(-0.193777, 0.094635, 0.564621)
(-0.196497, 0.094636, 0.564624)
(-0.199218, 0.094636, 0.564626)
(-0.201032, 0.094636, 0.564628)
(-0.203752, 0.094637, 0.564629)
(-0.206473, 0.094637, 0.564631)
(-0.207380, 0.094637, 0.564634)
(-0.208287, 0.094638, 0.564635)
(-0.208287, 0.094638, 0.564636)
(-0.209381, 0.095128, 0.567621)
(-0.212146, 0.095956, 0.572657)
(-0.214862, 0.096754, 0.577520)
