(-0.003061, -0.016433, 0.483029)
(-0.003083, -0.016636, 0.488440)
(-0.003103, -0.016828, 0.493542)
(-0.003116, -0.016949, 0.496765)
(-0.003129, -0.017070, 0.500001)
(-0.003161, -0.017366, 0.507874)
(-0.003187, -0.017608, 0.514330)
(-0.003198, -0.017711, 0.517076)
(-0.003228, -0.017992, 0.524575)
(-0.003267, -0.018355, 0.534249)
(-0.003282, -0.018494, 0.537941)
(-0.003310, -0.018748, 0.544709)
(-0.003327, -0.018911, 0.549059)
(-0.003352, -0.019139, 0.555117)
(-0.003371, -0.019318, 0.559889)
(-0.003390, -0.019498, 0.564696)
(-0.003407, -0.019653, 0.568815)
(-0.003426, -0.019826, 0.573434)
(-0.003440, -0.019958, 0.576939)
(-0.003457, -0.020116, 0.581147)
(-0.003467, -0.020214, 0.583773)
(-0.003460, -0.020147, 0.581991)
(-0.003457, -0.020113, 0.581070)
(-0.003439, -0.019952, 0.576795)
(-0.003413, -0.019705, 0.570195)
(-0.003397, -0.019562, 0.566393)
(-0.003360, -0.019212, 0.557062)
(-0.003335, -0.018980, 0.550891)
(-0.003289, -0.018560, 0.539691)
(-0.003267, -0.018350, 0.534093)
(-0.002390, -0.018055, 0.526238)
(-0.002372, -0.017782, 0.518977)
(-0.001534, -0.016759, 0.513662)
(0.000103, -0.016566, 0.508291)
(0.000091, -0.016388, 0.503352)
(0.001685, -0.015442, 0.499312)
(0.008790, -0.014457, 0.493706)
(0.017379, -0.014341, 0.490165)
(0.021863, -0.014176, 0.485104)
(0.024016, -0.014060, 0.481571)
(0.025331, -0.013923, 0.477367)
(0.025897, -0.013807, 0.473837)
(0.025753, -0.013724, 0.471309)
(0.025635, -0.013656, 0.469229)
(0.025464, -0.013558, 0.466224)
(0.025301, -0.013464, 0.463370)
(0.025179, -0.013394, 0.461219)
(0.025064, -0.013328, 0.459198)
(0.026454, -0.013281, 0.457777)
(0.027789, -0.013943, 0.455636)
(0.030610, -0.014619, 0.454113)
(0.031207, -0.015278, 0.452249)
(0.031861, -0.015241, 0.451255)
(0.032475, -0.016629, 0.449770)
(0.034543, -0.018017, 0.448520)
(0.035179, -0.018690, 0.447477)
(0.036521, -0.020787, 0.446339)
(0.037879, -0.022173, 0.445466)
(0.039208, -0.023539, 0.444342)
(0.041282, -0.024923, 0.443636)
(0.041932, -0.024884, 0.442984)
(0.042583, -0.025557, 0.442376)
(0.043250, -0.026240, 0.441936)
(0.043908, -0.026916, 0.441428)
(0.044581, -0.026893, 0.441073)
(0.044533, -0.026863, 0.440617)
(0.044491, -0.026837, 0.440211)
(0.044465, -0.026821, 0.439956)
(0.044434, -0.026801, 0.439654)
(0.045090, -0.027475, 0.439178)
(0.046473, -0.028162, 0.438918)
(0.047839, -0.028135, 0.438518)
(0.048507, -0.028114, 0.438201)
(0.049186, -0.028802, 0.437981)
(0.049152, -0.028781, 0.437685)
(0.049121, -0.028762, 0.437410)
(0.049093, -0.028745, 0.437167)
(0.049061, -0.028726, 0.436891)
(0.049040, -0.028713, 0.436711)
(0.049404, -0.028934, 0.439883)
(0.049860, -0.029210, 0.443859)
(0.050144, -0.029383, 0.446338)
(0.050472, -0.029582, 0.449205)
(0.050809, -0.029787, 0.452148)
(0.051055, -0.029936, 0.454291)
(0.051398, -0.030144, 0.457280)
(0.052190, -0.030625, 0.464194)
(0.052730, -0.030953, 0.468905)
(0.053418, -0.031371, 0.474915)
(0.053975, -0.031709, 0.479768)
(0.054390, -0.031961, 0.483394)
(0.055046, -0.032359, 0.489119)
(0.056341, -0.033145, 0.500417)
(0.057488, -0.033842, 0.510429)
(0.058327, -0.034351, 0.517748)
(0.059093, -0.034816, 0.524432)
(0.059914, -0.035314, 0.531596)
(0.060450, -0.035640, 0.536278)
(0.061248, -0.036124, 0.543241)
(0.061636, -0.036359, 0.546623)
(0.062165, -0.036680, 0.551236)
(0.062656, -0.036979, 0.555525)
(0.065261, -0.037463, 0.562493)
(0.065557, -0.037638, 0.565007)
(0.066598, -0.038253, 0.573842)
