(0.009227, -0.013153, 0.477240)
(0.009263, -0.013204, 0.478899)
(0.009299, -0.013255, 0.480540)
(0.009326, -0.013294, 0.481800)
(0.009378, -0.013369, 0.484196)
(0.009423, -0.013435, 0.486299)
(0.009444, -0.013465, 0.487264)
(0.009464, -0.013494, 0.488208)
(0.009477, -0.013512, 0.488786)
(0.009501, -0.012760, 0.489892)
(0.009510, -0.012773, 0.490319)
(0.009522, -0.012789, 0.490879)
(0.009534, -0.012805, 0.491410)
(0.009543, -0.012818, 0.491837)
(0.009552, -0.012830, 0.492271)
(0.009561, -0.012843, 0.492703)
(0.009571, -0.012856, 0.493129)
(0.009578, -0.012865, 0.493453)
(0.009587, -0.012877, 0.493865)
(0.009594, -0.012888, 0.494218)
(0.009600, -0.012896, 0.494490)
(0.009609, -0.012908, 0.494882)
(0.009613, -0.012914, 0.495092)
(0.009619, -0.012922, 0.495356)
(0.009624, -0.012929, 0.495610)
(0.009632, -0.012939, 0.495947)
(0.009636, -0.012944, 0.496133)
(0.009640, -0.012950, 0.496333)
(0.009643, -0.012955, 0.496482)
(0.009647, -0.012960, 0.496671)
(0.009650, -0.012964, 0.496801)
(0.009653, -0.012968, 0.496923)
(0.009657, -0.012974, 0.497121)
(0.009659, -0.012976, 0.497218)
(0.009662, -0.012981, 0.497357)
(0.009665, -0.012984, 0.497471)
(0.009667, -0.012987, 0.497583)
(0.009668, -0.012989, 0.497648)
(0.009671, -0.012993, 0.497770)
(0.009673, -0.012996, 0.497874)
(0.009675, -0.012998, 0.497944)
(0.009677, -0.013001, 0.498033)
(0.009678, -0.013003, 0.498102)
(0.009679, -0.013004, 0.498156)
(0.009682, -0.013008, 0.498296)
(0.009684, -0.013011, 0.498386)
(0.009686, -0.013013, 0.498447)
(0.009688, -0.013015, 0.498534)
(0.009688, -0.013016, 0.498560)
(0.009689, -0.013017, 0.498598)
(0.009690, -0.012218, 0.498635)
(0.009690, -0.012219, 0.498670)
(0.009691, -0.011420, 0.498699)
(0.009692, -0.010620, 0.498736)
(0.009692, -0.010621, 0.498759)
(0.009693, -0.010622, 0.498788)
(0.009693, -0.010622, 0.498807)
(0.009694, -0.010623, 0.498824)
(0.009694, -0.010623, 0.498839)
(0.009695, -0.010624, 0.498861)
(0.009695, -0.010624, 0.498875)
(0.009695, -0.010624, 0.498892)
(0.009696, -0.009824, 0.498906)
(0.009696, -0.009825, 0.498922)
(0.009696, -0.009825, 0.498931)
(0.009696, -0.009825, 0.498943)
(0.009697, -0.009825, 0.498954)
(0.009697, -0.009825, 0.498963)
(0.009697, -0.009826, 0.498975)
(0.009697, -0.009826, 0.498982)
(0.009697, -0.009826, 0.498989)
(0.009698, -0.009826, 0.498998)
(0.009698, -0.009826, 0.499004)
(0.009698, -0.009827, 0.499011)
(0.009698, -0.009827, 0.499018)
(0.009698, -0.009827, 0.499023)
(0.009698, -0.009026, 0.499029)
(0.009698, -0.008226, 0.499035)
(0.009698, -0.006624, 0.499042)
(0.009699, -0.005824, 0.499045)
(0.009699, -0.005023, 0.499050)
(0.009699, -0.005023, 0.499054)
(0.009699, -0.005023, 0.499058)
(0.009699, -0.005023, 0.499062)
(0.009699, -0.004222, 0.499065)
(0.008898, -0.003421, 0.499068)
(0.008898, -0.003422, 0.499071)
(0.008898, -0.001820, 0.499073)
(0.008096, -0.001019, 0.499076)
(0.008096, -0.001019, 0.499078)
(0.008096, 0.000582, 0.499080)
(0.008096, 0.001383, 0.499082)
(0.007295, 0.002184, 0.499084)
(0.005621, 0.004557, 0.493891)
(0.003994, 0.006894, 0.490010)
